Station Name,ARVIAT A,,,,,,,,,,,,,,,,,,,,,,,
Province,NUNAVUT,,,,,,,,,,,,,,,,,,,,,,,
Latitude,61.1,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-94.07,,,,,,,,,,,,,,,,,,,,,,,
Elevation,10.4,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,2300MKF,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,YEK,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,
B,More than one occurrence and estimated,,,,,,,,,,,,,,,,,,,,,,,
E,Estimated,,,,,,,,,,,,,,,,,,,,,,,
M,Missing,,,,,,,,,,,,,,,,,,,,,,,
S,More than one occurrence,,,,,,,,,,,,,,,,,,,,,,,
T,Trace,,,,,,,,,,,,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Jan-87,1987,1,-21.7,E,-31,E,-26.4,E,-5,,-40,,0,,11.8,,11.8,,,M,,,,
Feb-87,1987,2,-20.7,,-30.8,,-25.8,,-13.5,,-41,,0,,5.8,,5.8,,,M,,,,
Mar-87,1987,3,-17,,-27.3,,-22.2,,0.5,,-37.5,,0,,30.6,,30.6,,36,,,,,
Apr-87,1987,4,-6.6,,-17.4,,-12,,3,,-33,,0,,19.4,,19.4,,39,,,,,
May-87,1987,5,-3.6,,-11.9,,-7.8,,4,S,-23.5,,12,,11.8,,23.8,,22,,,,,
Jun-87,1987,6,4.4,,-0.7,,1.9,,14.5,,-5.5,,43.2,,13.2,,56.4,,0,,,,,
Jul-87,1987,7,,M,,M,,M,,M,,M,8.7,,0,,8.7,,0,,,,,
Aug-87,1987,8,,M,,M,,M,,M,,M,45.8,,0,,45.8,,0,,,,,
Sep-87,1987,9,8,,2.9,,5.5,,,M,,M,7.2,,0,,7.2,,0,,,,,
Oct-87,1987,10,,M,,M,,M,,M,,M,0,,0.4,,0.4,,,M,,,,
Nov-87,1987,11,-11,,-21.1,,-16.1,,,M,,M,0,,18.4,,18.4,,12,,,,,
Dec-87,1987,12,-16.7,,-24.5,,-20.6,,-2.5,,-35.5,,0,,15.8,,15.8,,,M,,,,
Jan-88,1988,1,-29.8,,-36.8,,-33.3,,-19,,-43,,0,,0,,0,,13,,,,,
Feb-88,1988,2,-27.2,,-35.4,,-31.3,,-15.5,,-41,S,0,,0.8,,0.8,,17,,,,,
Mar-88,1988,3,-19.7,E,-28.3,,-24,E,-11,,-37.5,,0,,7.5,,7.5,,24,,,,,
Apr-88,1988,4,-7.2,E,-15.8,E,-11.5,E,,M,,M,0,,16,,16,,41,,,,,
May-88,1988,5,-3.2,,-10,,-6.6,,2,,-21.5,,7.6,,40.8,,48.4,,25,,,,,
Jun-88,1988,6,6.3,,0.5,,3.4,,15,,-2,,9.6,,20,,29.6,,0,,,,,
Jul-88,1988,7,,M,,M,,M,,M,,M,,M,0,,,M,0,,,,,
Aug-88,1988,8,15.3,,7.2,E,11.3,E,23.5,,4,,33,,0,,33,,0,,,,,
Sep-88,1988,9,7.7,,3.4,,5.6,,18,,-1,,29.9,,0,,29.9,,0,,,,,
Oct-88,1988,10,-1.6,,-6,,-3.8,,13,,-22,,7.6,,76,,83.6,,8,,,,,
Nov-88,1988,11,-10.1,,-20.9,,-15.5,,-1,,-32,,0,,24.4,,24.4,,36,,,,,
Dec-88,1988,12,-24.2,,-30.8,,-27.5,,-8,,,M,0,,,M,,M,32,,,,,
Jan-89,1989,1,-26.9,,-36.1,,-31.5,,-9,,-43,,0,,15.2,,15.2,,45,,,,,
Feb-89,1989,2,-22.5,,-32.1,,-27.3,,-13,S,-38,S,0,,16.8,,16.8,,44,,,,,
Mar-89,1989,3,-23,,-32.5,,-27.8,,-12,S,-41,,0,,14.4,,14.4,,45,,,,,
Apr-89,1989,4,-8.6,,-18.3,,-13.5,,1,S,-31,,0,,,M,,M,48,,,,,
May-89,1989,5,,M,,M,,M,,M,,M,,M,,M,,M,0,,,,,
Jun-89,1989,6,7.8,E,2,E,4.9,E,,M,,M,21.8,,0,,21.8,,0,,,,,
Jul-89,1989,7,17.4,,8.4,,12.9,,27.5,,3,,70.6,,0,,70.6,,0,,,,,
Aug-89,1989,8,14.4,,7.4,,10.9,,26.5,,3,S,62.2,,0,,62.2,,0,,,,,
Sep-89,1989,9,6.4,,1.7,,4.1,,16.5,,-6,,35,,0,,35,,0,,,,,
Oct-89,1989,10,-1.7,,-6.9,,-4.3,,5,,-23.5,,1.6,,8.8,E,10.4,E,,M,,,,
Nov-89,1989,11,-17,,-21.5,,-19.3,,-1.5,,,M,0,,4,,4,,,M,,,,
Dec-89,1989,12,-24.4,,-30.6,,-27.5,,-13,,-35,S,0,,10,,10,,,M,,,,
Jan-90,1990,1,-27,,-34.8,,-30.9,,-13,,-45,,0,,16.6,,16.6,,13,,,,,
Feb-90,1990,2,-27.8,,-36.1,,-32,,-11.5,,-44.5,,0,,5.4,,5.4,,19,,,,,
Mar-90,1990,3,-14,,-22.7,,-18.4,,0,,-34,,0,,5.2,,5.2,,36,,,,,
Apr-90,1990,4,-10.5,,-19.5,,-15,,-2,S,-30,,0,,13.8,,13.8,,34,,,,,
May-90,1990,5,-1.7,,-7.8,,-4.8,,8.5,,-18,,0,,1.4,,1.4,,,M,,,,
Jun-90,1990,6,7.5,,1.1,,4.3,,16.5,,-3,,36.6,,12.8,,49.4,,0,,,,,
Jul-90,1990,7,14.9,,7.6,,11.3,,30,,5,S,32.4,,0,,32.4,,0,,,,,
Aug-90,1990,8,11.7,,5.3,,8.5,,19,,2,S,51.3,,0,,51.3,,0,,,,,
Sep-90,1990,9,6.7,,1.5,,4.1,,17.5,,-2.5,,21.2,,0.6,,21.8,,0,,,,,
Oct-90,1990,10,-2.2,,-6.8,,-4.5,,3.5,S,-22.5,,0,,15,,15,,,M,,,,
Nov-90,1990,11,-11.9,E,-20.6,,-16.3,E,-2,,-31,,0,,12.4,,12.4,,69,,,,,
Dec-90,1990,12,-27.8,E,-34.9,,-31.4,E,-9,,-39.5,,0,,,M,,M,19,,,,,
Jan-91,1991,1,-31.7,,-37,E,-34.3,E,-19,,-41,S,0,,4.2,,4.2,,24,,,,,
Feb-91,1991,2,-24,E,-31.3,,-27.7,E,-6,,-41,,0,,0.4,I,0.4,I,,M,,,,
Mar-91,1991,3,-18.8,,-29.9,,-24.4,,-5.5,,-41,S,0,,3.6,,3.6,,24,,,,,
Apr-91,1991,4,-8.4,,-17.6,E,-13,E,0,,-31,,0,,18.2,I,18.2,I,39,,,,,
May-91,1991,5,-1.8,E,-8,,-4.9,E,6,E,-24.5,,4,,8.8,,12.8,,,M,,,,
Jun-91,1991,6,4.6,I,-0.8,I,1.9,I,12.5,I,-5,I,0.6,,0,,0.6,,,,,,,
Jul-91,1991,7,16.4,I,7.6,I,12,I,29,I,4,I,15.8,,0,,15.8,,0,,,,,
Aug-91,1991,8,15.9,,7.2,,11.6,,30,S,0,,14.6,,0,,14.6,,0,,,,,
Sep-91,1991,9,4.6,E,0.8,E,2.7,E,17,E,-4,B,55.6,,23.8,,79.4,,,M,,,,
Oct-91,1991,10,-3.4,E,-7.9,E,-5.7,E,3,E,-26,E,1.6,,17.2,,18.8,,16,,,,,
