"Station Name","ALERT UA"
"Province","NUNAVUT"
"Latitude","82.50"
"Longitude","-62.33"
"Elevation","65.40"
"Climate Identifier","2400306"
"WMO Identifier","71082"
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2015-01-01","2015","01","01","†","","","","","","","","","","","0.0","","2.4","","1.0","","22","","","","",""
"2015-01-02","2015","01","02","†","","","","","","","","","","","0.0","","0.6","","0.2","","22","","","","",""
"2015-01-03","2015","01","03","†","","","","","","","","","","","0.0","","0.6","","0.0","T","22","","","","",""
"2015-01-04","2015","01","04","†","","","","","","","","","","","0.0","","4.2","","2.0","","22","","","","",""
"2015-01-05","2015","01","05","†","","","","","","","","","","","0.0","","2.6","","1.0","","22","","","","",""
"2015-01-06","2015","01","06","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","25","","","","",""
"2015-01-07","2015","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"2015-01-08","2015","01","08","†","","","","","","","","","","","0.0","","0.2","","0.0","T","20","","","","",""
"2015-01-09","2015","01","09","†","","","","","","","","","","","0.0","","0.4","","0.2","","20","","","","",""
"2015-01-10","2015","01","10","†","","","","","","","","","","","0.0","","1.4","","0.6","","20","","","","",""
"2015-01-11","2015","01","11","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","20","","","","",""
"2015-01-12","2015","01","12","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"2015-01-13","2015","01","13","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"2015-01-14","2015","01","14","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","14","","","","",""
"2015-01-15","2015","01","15","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","14","","","","",""
"2015-01-16","2015","01","16","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","14","","","","",""
"2015-01-17","2015","01","17","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","14","","","","",""
