Station Name,BURLINGTON PIERS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.8,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,77.4,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6151061,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71437,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WWB,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,-0.04,-5.393548387,-2.856666667,3.6,-15.8,625.7,0,,,,,,,,,,,,
Legend,,,,,,,,1.234615385,-4.292857143,-1.65,14,-10.2,510.9,0,,,,,,,,,,,,
A,Accumulated,,,,,,,2.632258065,-1.783870968,0.425806452,10.8,-6.5,544.8,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,11.35862069,3.486666667,7.465517241,26,-0.3,305.5,0,,,,,,,,,,,,
E,Estimated,,,,,,,17.30333333,9.812903226,13.57666667,28.9,6.9,142.4,9.7,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,22.66333333,15.68,19.19333333,31.4,8.9,35.4,71.2,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,23.72580645,16.86451613,20.31935484,31.9,9.9,6.5,78.4,,,,,,,,,,,,
M,Missing,,,,,,,26.41290323,19.18387097,22.81935484,35.2,15.5,0,149.4,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,20.91333333,13.66666667,17.31666667,30.3,5.6,56.9,36.4,,,,,,,,,,,,
S,More than one occurrence,,,,,,,15.40333333,7.812903226,11.67333333,25.5,1.8,192.7,2.9,,,,,,,,,,,,
T,Trace,,,,,,,11.80740741,5.1,8.566666667,19.8,1.7,254.7,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,6.633333333,1.796,4.154166667,19.1,-6.5,332.3,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2001/1/1,2001,1,1,,-5.7,,-13,,-9.4,,27.4,,0,,,M,,M,,M,,,,,<31,
2001/1/2,2001,1,2,,-3.6,,-15.8,,-9.7,,27.7,,0,,,M,,M,,M,,,,,<31,
2001/1/3,2001,1,3,,-4.4,,-9.3,,-6.9,,24.9,,0,,,M,,M,,M,,,23,E,50,E
2001/1/4,2001,1,4,,-1.5,,-4.5,,-3,,21,,0,,,M,,M,,M,,,23,E,39,E
2001/1/5,2001,1,5,,1.9,,-2.4,,-0.3,,18.3,,0,,,M,,M,,M,,,21,E,48,E
2001/1/6,2001,1,6,,-0.3,,-6.2,E,-3.3,E,21.3,E,0,E,,M,,M,,M,,,,M,,M
2001/1/7,2001,1,7,,0.8,,-1.5,,-0.4,,18.4,,0,,,M,,M,,M,,,,,<31,
2001/1/8,2001,1,8,,-0.2,,-13.1,,-6.7,,24.7,,0,,,M,,M,,M,,,,,<31,
