Station Name,BURLINGTON PIERS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Current Station Operator,Environment and Climate Change Canada - Meteorological Service of Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.8,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,77.4,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6151061,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71437,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
TC Identifier,WWB,,,,,,,-0.209677419,-7.648387097,-3.94516129,13.3,-20.8,680.3,0,,,,,,,,,,,,
,,,,,,,,3.492857143,-4.078571429,-0.289285714,17.9,-12.6,512.1,0,,,,,,,,,,,,
Legend,,,,,,,,3.574193548,-2.032258065,0.777419355,9.9,-6.1,533.9,0,,,,,,,,,,,,
A,Accumulated,,,,,,,7.393333333,0.623333333,4.023333333,19.6,-4,419.3,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,18.48518519,10.02258065,13.84444444,31.2,5.6,127.7,15.5,,,,,,,,,,,,
E,Estimated,,,,,,,21.92142857,15.84482759,18.88571429,32.9,11.3,26.9,51.7,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,26.74516129,19.81612903,23.29677419,32.8,16.2,0,164.2,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,26.48387097,20.06774194,23.28387097,32.1,14.4,1.3,165.1,,,,,,,,,,,,
M,Missing,,,,,,,22.42,16.49666667,19.44666667,32.2,10.4,27.8,71.2,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,14.06774194,7.216129032,10.64516129,28.5,1.7,237.5,9.5,,,,,,,,,,,,
