Station Name,EAST POINT (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,PRINCE EDWARD ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,46.46,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-61.99,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,7.7,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,8300418,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71412,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WEP,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,-2.690322581,-10.00967742,-6.367741935,8.4,-21.6,755.4,0,,,,,,,,,,,,
Legend,,,,,,,,-2.203571429,-8.292857143,-5.275,3.5,-18.6,651.7,0,,,,,,,,,,,,
A,Accumulated,,,,,,,0.809677419,-3.425806452,-1.325806452,5.8,-10.7,599.1,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,4.56,-0.303333333,2.14,12.3,-4.6,475.8,0,,,,,,,,,,,,
E,Estimated,,,,,,,11.8483871,4.916129032,8.409677419,23.7,-0.5,297.3,0,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,17.02857143,10.41034483,13.775,23.8,7,121,2.7,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,22.46774194,14.90645161,18.71290323,28.4,10.9,23.6,45.7,,,,,,,,,,,,
M,Missing,,,,,,,22.38064516,15.07333333,18.74,27.2,9.6,11.7,33.9,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,18.12666667,11.88333333,15.03666667,24.5,7.5,95.2,6.3,,,,,,,,,,,,
S,More than one occurrence,,,,,,,12.56666667,6.340909091,9.376190476,19.8,-1.6,181.1,0,,,,,,,,,,,,
T,Trace,,,,,,,6.672413793,0.265517241,3.489655172,16.1,-6.7,420.8,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,-0.793548387,-6.919354839,-3.864516129,8.6,-16.9,677.8,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2013/1/1,2013,1,1,,-3.6,,-11.5,,-7.6,,25.6,,0,,0,,,M,1.6,,1,,30,,57,
2013/1/2,2013,1,2,,-4.2,,-14,,-9.1,,27.1,,0,,,M,,M,1.3,,16,,30,,70,
2013/1/3,2013,1,3,,-4.1,,-11.2,,-7.7,,25.7,,0,,,M,,M,0,,1,,31,,67,
2013/1/4,2013,1,4,,-2,,-12.7,,-7.4,,25.4,,0,,,M,,M,0,,,,21,,52,
2013/1/5,2013,1,5,,-2.7,,-8.4,,-5.6,,23.6,,0,,,M,,M,1.6,,3,,30,,69,
2013/1/6,2013,1,6,,-5.1,,-13.6,,-9.4,,27.4,,0,,0,,,M,1.3,,2,,31,,44,
2013/1/7,2013,1,7,,-5.1,,-13.2,,-9.2,,27.2,,0,,,M,,M,0,,14,,32,,61,
2013/1/8,2013,1,8,,0.2,,-14.1,,-7,,25,,0,,,M,,M,0,,2,,22,,57,
2013/1/9,2013,1,9,,1.5,,-2.7,,-0.6,,18.6,,0,,,M,,M,0,,1,,17,,43,
2013/1/10,2013,1,10,,1.6,,-2.1,,-0.3,,18.3,,0,,,M,,M,3.5,,1,,33,,78,
2013/1/11,2013,1,11,,-2,,-4.4,,-3.2,,21.2,,0,,,M,,M,0,,1,,34,,70,
2013/1/12,2013,1,12,,-1.7,,-3,,-2.4,,20.4,,0,,,M,,M,0,,1,,1,,39,
