Station Name,CHARLOTTETOWN A,,,,,,,,,,,,,,,,,,,,,,,
Province,PRINCE EDWARD ISLAND,,,,,,,,,,,,,,,,,,,,,,,
Latitude,46.29,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-63.13,,,,,,,,,,,,,,,,,,,,,,,
Elevation,48.8,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,8300300,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71706,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,YYG,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,
B,More than one occurrence and estimated,,,,,,,,,,,,,,,,,,,,,,,
E,Estimated,,,,,,,,,,,,,,,,,,,,,,,
M,Missing,,,,,,,,,,,,,,,,,,,,,,,
S,More than one occurrence,,,,,,,,,,,,,,,,,,,,,,,
T,Trace,,,,,,,,,,,,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Jan-87,1987,1,-4.2,,-12,,-8.1,,4.3,,-21.1,,7.9,,93.6,,96,,29,,12,,93,E
Feb-87,1987,2,-5.2,,-12.8,,-9,,3.8,,-22.7,,0,T,77.9,,75.5,,58,,3,,93,E
Mar-87,1987,3,-0.6,,-8.6,,-4.6,,10.1,,-20,,11.6,,59.3,,74.7,,20,,2,,59,E
Apr-87,1987,4,8.8,,-0.4,,4.2,,20.7,,-6.1,,59.1,,11.6,,70.9,,0,,18,,74,E
May-87,1987,5,14.8,,3.2,,9,,23.1,,-2.2,,44.2,,0,T,44.2,,0,,23,S,65,S
Jun-87,1987,6,18.6,,8.9,,13.8,,23.7,,1.5,,141.1,,0,,141.1,,0,,29,,52,E
Jul-87,1987,7,24,,14.1,,19.1,,28.9,,9.8,,8.9,,0,,8.9,,0,,17,,56,E
Aug-87,1987,8,22.6,,12.1,,17.4,,32.1,,5.4,,49.8,,0,,49.8,,0,,24,,48,E
Sep-87,1987,9,17.6,,10.3,,14,,25.7,,2.1,,174.3,,0,T,174.3,,0,,14,S,46,B
Oct-87,1987,10,13,,4.3,,8.7,,20,,-1.2,,138.4,,0,T,138.4,,0,,32,,61,E
Nov-87,1987,11,4.3,,-1.8,,1.3,,13.8,,-6.5,,109.8,,23.7,,138.8,,0,T,3,,83,E
Dec-87,1987,12,-1.2,,-6.9,,-4.1,,11.8,,-17.1,,28.8,,151.7,,174.9,,85,,34,,78,E
Jan-88,1988,1,-2.9,,-12,,-7.5,,7.3,,-23.8,,29.4,,47.3,,76,,25,,26,,70,E
Feb-88,1988,2,-2.4,,-13.6,,-8,,8.5,,-24.9,,47.4,,81.1,,126.6,,19,,11,,107,E
Mar-88,1988,3,0.6,,-7.5,,-3.5,,11.6,,-18.4,,11.4,,62.6,,70.8,,10,,27,,65,E
Apr-88,1988,4,5.3,,-1.1,,2.1,,11.6,,-4.9,,64.8,,45.4,,113,,0,T,2,,74,E
May-88,1988,5,15.7,,5,,10.4,,25.3,,0.1,,124.2,,2.6,,126.8,,0,,36,,74,E
Jun-88,1988,6,17.4,,7.9,,12.7,,30.7,,2,,95.4,,0,,95.4,,0,,3,,52,E
Jul-88,1988,7,23.2,,14.4,,18.8,,29,S,8.1,,79.5,,0,,79.5,,0,,11,,46,E
Aug-88,1988,8,22.6,,14.3,,18.5,,28.5,,5,,115.4,,0,,115.4,,0,,16,,46,E
Sep-88,1988,9,16.5,,8.4,,12.5,,22.4,,3.3,,92.6,,0,,92.6,,0,,15,S,56,B
Oct-88,1988,10,11,,3.1,,7.1,,22.3,,-4.1,,171.6,,0,T,171.6,,0,,22,,65,E
Nov-88,1988,11,6.9,,0.2,,3.6,,16.7,,-7.4,S,98.6,,8.2,,112.1,,0,,36,,89,E
Dec-88,1988,12,-1.5,,-9.7,,-5.6,,7.5,,-18.1,,12.6,,83,,73.8,,12,,30,,65,E
Jan-89,1989,1,-2.1,,-12.7,,-7.4,,5.7,,-19.1,S,24.9,,67.8,,83.9,,23,,31,,102,E
Feb-89,1989,2,-4.5,,-13.9,,-9.2,,7.7,,-23.6,,40.2,,87.6,,116.2,,23,,4,,70,E
Mar-89,1989,3,-0.9,,-10.8,,-5.9,,9.9,,-23.2,,25,,69.6,,93.6,,24,,17,S,59,B
Apr-89,1989,4,7,,-1.1,,3,,15.7,,-4.4,,53.2,,36.6,,87.4,,0,T,21,,70,E
May-89,1989,5,18.1,,7.1,,12.6,,24.4,,1.6,,128,,0,,128,,0,,15,S,56,B
Jun-89,1989,6,18.7,,10,,14.4,,27.2,,4,,76.2,,0,,76.2,,0,,36,,48,E
Jul-89,1989,7,22.7,,12.5,,17.6,,30.6,,6.8,,85,,0,,85,,0,,19,,56,E
Aug-89,1989,8,22.9,,13.6,,18.3,,27.6,,2,,68.6,,0,,68.6,,0,,29,,56,E
Sep-89,1989,9,19,,9.3,,14.2,,26,,1.8,,93.8,,0.4,,94.2,,0,,27,,70,E
Oct-89,1989,10,11.8,,2.8,,7.3,,19.1,,-3.3,,72.3,,2.2,,74.5,,0,,15,,81,E
Nov-89,1989,11,5.3,,-3,,1.2,,17,S,-15,,113.8,,60.6,,171.4,,17,,32,S,74,B
