Station Name,AMQUI,,,,,,,,,,,,,,,,,,,,,,,,,
Province,QUEBEC,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,48.47,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-67.43,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,166,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,7050145,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71386,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WZS,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,-6.406451613,-15.94193548,-11.19677419,0.7,-24.9,905.1,0,,,,,,,,,,,,
Legend,,,,,,,,-5.285714286,-16.28571429,-10.80357143,6.3,-29.6,806.5,0,,,,,,,,,,,,
A,Accumulated,,,,,,,-0.951612903,-13.01935484,-7.006451613,9.7,-21.8,775.2,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,6.45,-3.08,1.703333333,14.6,-14.2,488.9,0,,,,,,,,,,,,
E,Estimated,,,,,,,13.90645161,1.987096774,7.967741935,27.4,-4.1,312.9,1.9,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,19.3,6.66,13.00333333,28.6,1.2,154.3,4.4,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,22.38064516,12.29354839,17.36129032,32.7,4.5,47.9,28.1,,,,,,,,,,,,
M,Missing,,,,,,,23.57419355,11.2516129,17.43870968,32.7,-0.2,63.7,46.3,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,18.80333333,7.413333333,13.14,28.1,-0.8,156,10.2,,,,,,,,,,,,
S,More than one occurrence,,,,,,,7.725806452,-0.090322581,3.838709677,22.3,-5.6,439,0,,,,,,,,,,,,
T,Trace,,,,,,,-0.12,-6.483333333,-3.316666667,15.3,-15.6,639.5,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,-4.719354839,-13.70645161,-9.235483871,2.1,-22.4,844.3,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
