"Station Name","AMQUI"
"Province","QUEBEC"
"Latitude","48.47"
"Longitude","-67.43"
"Elevation","166.00"
"Climate Identifier","7050145"
"WMO Identifier","71386"
"TC Identifier","WZS"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2006-01-01","2006","01","01","","-12.2","","-25.0","","-18.6","","36.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"2006-01-02","2006","01","02","","-8.0","","-20.3","","-14.2","","32.2","","0.0","","","M","","M","1.0","","","","","","<31",""
"2006-01-03","2006","01","03","","-10.8","","-25.0","","-17.9","","35.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"2006-01-04","2006","01","04","","-10.5","","-26.9","","-18.7","","36.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"2006-01-05","2006","01","05","","-8.0","","-17.3","","-12.7","","30.7","","0.0","","","M","","M","1.0","","","","","","<31",""
"2006-01-06","2006","01","06","","-4.1","","-9.2","","-6.7","","24.7","","0.0","","","M","","M","4.0","","","","","","<31",""
"2006-01-07","2006","01","07","","-5.8","","-17.1","","-11.5","","29.5","","0.0","","","M","","M","1.0","","","","26","","33",""
"2006-01-08","2006","01","08","","-9.9","","-19.1","","-14.5","","32.5","","0.0","","","M","","M","0.0","","","","28","","32",""
"2006-01-09","2006","01","09","","-9.3","","-24.3","","-16.8","","34.8","","0.0","","","M","","M","3.0","","","","","","<31",""
"2006-01-10","2006","01","10","","-3.7","","-10.0","","-6.9","","24.9","","0.0","","","M","","M","1.0","","","","32","","33",""
"2006-01-11","2006","01","11","","0.0","","-6.1","","-3.1","","21.1","","0.0","","","M","","M","4.0","","","","","","<31",""
"2006-01-12","2006","01","12","","3.0","","-2.7","","0.2","","17.8","","0.0","","","M","","M","15.0","","","","30","","35",""
