Station Name,ARUNDEL,,,,,,,,,,,,,,,,,,,,,,,
Province,QUEBEC,,,,,,,,,,,,,,,,,,,,,,,
Latitude,45.95,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-74.62,,,,,,,,,,,,,,,,,,,,,,,
Elevation,191.4,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,7030310,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,
B,More than one occurrence and estimated,,,,,,,,,,,,,,,,,,,,,,,
E,Estimated,,,,,,,,,,,,,,,,,,,,,,,
M,Missing,,,,,,,,,,,,,,,,,,,,,,,
S,More than one occurrence,,,,,,,,,,,,,,,,,,,,,,,
T,Trace,,,,,,,,,,,,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Jan-87,1987,1,-6,,-17.8,,-11.9,,1,,-40.5,,0,,48.4,,48.4,,39,,,,,
Feb-87,1987,2,-4.8,,-18.9,,-11.9,,8,,-30,,0,T,27.6,,27.6,,39,,,,,
Mar-87,1987,3,5.7,,-8.7,,-1.5,,19.5,,-27,,46.4,,12.8,,59.2,,0,,,,,
Apr-87,1987,4,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
May-87,1987,5,17.7,E,4.3,E,11,E,30,,-7,E,130.6,,0,,130.6,,0,,,,,
Jun-87,1987,6,23,,9.9,,16.5,,31,,1,,148,,0,,148,,0,,,,,
Jul-87,1987,7,25.7,,13.6,,19.7,,32.5,,3,S,91.2,,0,,91.2,,0,,,,,
Aug-87,1987,8,23.2,,8.8,E,16,E,29.5,S,-1,,70.2,,0,,70.2,,0,,,,,
Sep-87,1987,9,18.5,,7.3,,12.9,,25.5,S,-4,,150.5,,0,,150.5,,0,,,,,
Oct-87,1987,10,10.1,,-0.2,,5,,19.5,,-6.5,S,106.6,,2.4,,109,,0,,,,,
Nov-87,1987,11,3.8,E,-5.7,E,-1,E,16,,-17,,107,E,21,E,128,E,0,,,,,
Dec-87,1987,12,-1.3,,-8.9,,-5.1,,5,,-26.5,,13.8,,41.7,,55.5,,19,,,,,
Jan-88,1988,1,-5,,-18,,-11.5,,10.5,,-34,,28.4,,41,,69.4,,22,,,,,
Feb-88,1988,2,-4.1,,-16.6,,-10.4,,6.5,,-36,,9.8,,108.6,,118.4,,57,,,,,
Mar-88,1988,3,0.6,E,-12.1,E,-5.8,E,14,E,-30.5,,,M,,M,,M,,M,,,,
Apr-88,1988,4,10.2,E,0.1,E,5.2,E,15,E,-5,,,M,,M,,M,0,,,,,
May-88,1988,5,20,,6.2,,13.1,,26,,-2.5,S,52.4,,0,,52.4,,0,,,,,
Jun-88,1988,6,22,,7.3,E,14.7,E,33.5,,-2,,86.8,,0,,86.8,,0,,,,,
Jul-88,1988,7,27,,13.6,,20.3,,35.5,,4.5,,98.4,,0,,98.4,,0,,,,,
Aug-88,1988,8,23.2,E,13.5,E,18.4,E,32,,3,S,283,E,0,,283,E,0,,,,,
Sep-88,1988,9,,M,,M,,M,,M,,M,,M,,M,,M,0,,,,,
Oct-88,1988,10,8.7,E,0.3,,4.5,E,20,,-10.5,,112.4,,1.4,,113.8,,0,,,,,
Nov-88,1988,11,5.2,,-2.7,E,1.3,E,15.5,,-12,E,123,,4.8,,127.8,,0,T,,,,
Dec-88,1988,12,-4.4,E,-15.5,E,-10,E,7,E,-30,,,M,,M,,M,11,,,,,
Jan-89,1989,1,-2.6,,-18,,-10.3,,5.5,,-34,,22.8,,63.6,,86.4,,27,,,,,
Feb-89,1989,2,-5,,-21,,-13,,4.5,,-38,S,0,,37.6,,37.6,,36,,,,,
Mar-89,1989,3,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
Apr-89,1989,4,8.3,E,-3.2,E,2.6,E,19.5,,-11,E,,M,,M,,M,0,,,,,
May-89,1989,5,18.7,,5.7,E,12.2,E,30,,-3,,110.8,,0,,110.8,,0,,,,,
Jun-89,1989,6,22.9,,10.8,,16.9,,32,,3,,139,,0,,139,,0,,,,,
Jul-89,1989,7,26.4,,11.1,,18.8,,33.5,S,4,,63.1,,0,,63.1,,0,,,,,
Aug-89,1989,8,23.8,,10.9,,17.4,,29.5,S,-1,,86.4,,0,,86.4,,0,,,,,
Sep-89,1989,9,19.3,,7.5,,13.4,,27,,-1.5,,121.6,,0,T,121.6,,0,,,,,
Oct-89,1989,10,12.8,,1.4,E,7.1,E,21.5,S,-6.5,,160.8,,0,T,160.8,,0,,,,,
Nov-89,1989,11,2.3,,-7.6,,-2.7,,15.5,,-21.5,,144.2,,41.4,,185.6,,18,,,,,
Dec-89,1989,12,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
Jan-90,1990,1,-0.8,E,-11.1,E,-6,E,6.5,S,-33,,49,E,53.6,E,102.6,E,23,,,,,
Feb-90,1990,2,-2.8,,-15.9,,-9.4,,6.5,S,-34.5,,11.2,,69.8,,81,,56,,,,,
Mar-90,1990,3,2.7,E,-12,,-4.7,E,19,,-34.5,,28.8,,10.4,,39.2,,0,,,,,
Apr-90,1990,4,,M,,M,,M,,M,,M,,M,,M,,M,0,,,,,
May-90,1990,5,16.8,,2.5,,9.7,,25.5,,-5.5,,88,,0,,88,,0,,,,,
Jun-90,1990,6,21.9,,10.4,,16.2,,28.5,S,0,,157,,0,,157,,0,,,,,
Jul-90,1990,7,25.2,,13.1,E,19.2,E,31,,4.5,,113.6,,0,,113.6,,0,,,,,
Aug-90,1990,8,24.8,,12.2,,18.5,,29.5,,3.5,,78.8,,0,,78.8,,0,,,,,
Sep-90,1990,9,17.4,,6.8,,12.1,,25.5,,-0.5,S,108.2,,0,,108.2,,0,,,,,
Oct-90,1990,10,,M,,M,,M,,M,,M,,M,,M,,M,0,,,,,
Nov-90,1990,11,5,E,-4.1,E,0.5,E,17.5,,-12,,105.6,E,6.6,E,112.2,E,0,,,,,
Dec-90,1990,12,,M,,M,,M,,M,,M,,M,,M,,M,8,,,,,
Jan-91,1991,1,-6.6,E,-19.5,,-13.1,E,1.5,,-37.5,,0,T,83.2,,83.2,,42,,,,,
Feb-91,1991,2,-1.9,,-14.6,,-8.2,,9.5,,-31.5,,17.2,,52.2,,69.4,,40,,,,,
Mar-91,1991,3,3.2,E,-7.3,E,-2.1,E,10.5,,-19,,39.6,I,8.2,I,47.8,I,,M,,,,
Apr-91,1991,4,13.3,I,1.2,I,7.5,I,24.5,I,-3,I,48.4,I,0,I,48.4,I,0,,,,,
May-91,1991,5,20.2,,5.8,,13.1,,30,,-3,S,100.6,,0,,100.6,,0,,,,,
Jun-91,1991,6,24.3,E,10.1,E,17.2,E,32,,2,,44.8,,0,,44.8,,0,,,,,
Jul-91,1991,7,26.4,,11.8,,19.2,,34,,3,,93.6,,0,,93.6,,0,,,,,
Aug-91,1991,8,24.7,,12.9,,18.8,,34,,3.5,,184.2,,0,,184.2,,0,,,,,
Sep-91,1991,9,19.8,I,6.3,I,13.1,I,25.5,I,-4.5,I,23.8,I,0,I,23.8,I,0,,,,,
Oct-91,1991,10,12.6,,2.4,,7.5,,22,,-6,S,141.2,,0,,141.2,,0,,,,,
Nov-91,1991,11,5.1,,-4.3,,0.4,,16.5,,-14.5,,43.2,,3.4,,46.6,,0,,,,,
Dec-91,1991,12,-4.5,,-15.3,E,-9.9,E,9,,-31.5,,12.8,,50,,62.8,,10,,,,,
Jan-92,1992,1,-3,I,-12.5,I,-7.8,I,7,I,-29,I,61.8,I,40,I,101.8,I,27,,,,,
Feb-92,1992,2,-4.9,,-17.2,E,-11.1,E,4,,-38,,5.6,,109.6,,115.2,,64,,,,,
Mar-92,1992,3,-0.3,,-15.4,,-7.9,,8.5,,-34,,74.7,,22,,96.7,,20,,,,,
Apr-92,1992,4,3.8,I,-6,I,-1.1,I,9,I,-12,I,10.2,I,,M,10.2,I,,M,,,,
May-92,1992,5,20.5,I,2.4,I,11.5,I,31.5,I,-4.5,I,47.6,I,0,,47.6,I,0,,,,,
Jun-92,1992,6,21.8,,9,,15.4,,28,,1.5,S,81.8,,0,,81.8,,0,,,,,
Jul-92,1992,7,22.6,,10.3,,16.5,,26.5,,0.5,,244,,0,,244,,0,,,,,
Aug-92,1992,8,22.5,,11.3,,16.9,,29.5,,4,S,99,,0,,99,,0,,,,,
Sep-92,1992,9,19.1,,7.3,,13.2,,28,,-4.5,,124.8,,0,,124.8,,0,,,,,
Oct-92,1992,10,9.3,I,-2.8,I,3.4,I,21.5,I,-11,I,0.8,I,0.8,I,1.6,I,0,,,,,
Nov-92,1992,11,3.7,,-4,,-0.1,,14,,-16,,107.6,,2.2,,109.8,,0,,,,,
Dec-92,1992,12,-1.6,,-10.8,,-6.2,,8,,-28.5,,7.6,,17.8,,25.4,,2,,,,,
Jan-93,1993,1,-6,E,-16.9,E,-11.5,E,9,,-29.5,,69.8,,55.6,,125.4,,20,,,,,
Feb-93,1993,2,-8.3,,-24.4,,-16.4,,0,,-38,,0,,40.4,,40.4,,34,,,,,
Mar-93,1993,3,2.3,E,-12.3,,-5,E,19,,-32,,2.4,,47.6,E,50,E,6,,,,,
Apr-93,1993,4,14.6,I,-0.2,I,7.1,I,22,I,-8.5,I,21.2,I,0,I,21.2,I,0,,,,,
May-93,1993,5,18.3,,4.9,,11.6,,28.5,,-3,,102.6,,0,,102.6,,0,,,,,
Jun-93,1993,6,22,,8.8,,15.4,,29.5,S,-0.5,,109,,0,,109,,0,,,,,
Jul-93,1993,7,26.2,,13.3,,19.8,,32,,6,,104.8,,0,,104.8,,0,,,,,
Aug-93,1993,8,25.5,,12.2,,18.9,,32,,5,S,116.6,,0,,116.6,,0,,,,,
Sep-93,1993,9,17.5,,5.6,,11.6,,25,S,-4.5,,134.4,,0,,134.4,,0,,,,,
Oct-93,1993,10,9.1,I,0.1,I,4.6,I,20.5,I,-5,I,82.6,I,2.4,I,85,I,0,,,,,
Nov-93,1993,11,3.3,,-5,,-0.9,,11.5,,-19.5,,103.2,,6.8,,110,,0,T,,,,
Dec-93,1993,12,-3.4,,-13.8,,-8.7,,10,,-39.5,,22.8,,51.4,,74.2,,18,,,,,
Jan-94,1994,1,-13.5,I,-28.7,I,-21,I,5,I,-41.5,I,20,I,72.3,I,92.3,I,46,,,,,
Feb-94,1994,2,-7.7,,-22.7,,-15.2,,12,,-35.5,,0.8,,73.2,,74,,52,,,,,
Mar-94,1994,3,1.1,I,-12.9,I,-5.9,I,7,I,-30.5,I,11,I,15.6,I,26.6,I,,M,,,,
Apr-94,1994,4,11.5,I,0.3,I,5.9,I,20.5,I,-4.5,I,59.3,I,2.4,I,61.7,I,0,,,,,
May-94,1994,5,17.4,,3.3,,10.3,,30,,-5.5,,114.2,,0,,114.2,,0,,,,,
Jun-94,1994,6,24,,11.5,,17.7,,34,S,0,,191,,0,,191,,0,,,,,
Jul-94,1994,7,25.4,,13.7,,19.6,,31.5,,6.5,S,159.2,,0,,159.2,,0,,,,,
Aug-94,1994,8,22.6,,10.7,,16.7,,27,,3.5,,204,,0,,204,,0,,,,,
Sep-94,1994,9,18.7,,7.7,,13.2,,24.5,,1,S,74.3,,0,,74.3,,0,,,,,
Oct-94,1994,10,13.2,,1.1,,7.2,,21.5,S,-7,,28.6,,0,,28.6,,0,,,,,
Nov-94,1994,11,6.6,,-3,,1.8,,17,,-16.5,,100.8,,7.2,,108,,2,,,,,
Dec-94,1994,12,-0.7,E,-11.8,,-6.3,E,7.5,,-27,,25,,41.4,,66.4,,8,,,,,
