Station Name,ABBEY,,,,,,,,,,,,,,,,,,,,,,,
Province,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,
Latitude,50.7,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-108.78,,,,,,,,,,,,,,,,,,,,,,,
Elevation,694.9,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,4020020,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,
B,More than one occurrence and estimated,,,,,,,,,,,,,,,,,,,,,,,
E,Estimated,,,,,,,,,,,,,,,,,,,,,,,
M,Missing,,,,,,,,,,,,,,,,,,,,,,,
S,More than one occurrence,,,,,,,,,,,,,,,,,,,,,,,
T,Trace,,,,,,,,,,,,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Jan-87,1987,1,0.2,,-10.1,,-5,,8,S,-23,,0,,3,,3,,,M,,,,
Feb-87,1987,2,1.6,,-7.8,,-3.1,,8,S,-22,,0,,8,,8,,,M,,,,
Mar-87,1987,3,3.8,,-5.6,E,-0.9,E,21,,-18,,0,T,19,E,19,E,,M,,,,
Apr-87,1987,4,16.8,E,1.8,,9.3,E,29,,-4,S,4,,2,,6,,0,,,,,
May-87,1987,5,21.8,,6.8,E,14.3,E,30,,0,,27,,0,,27,,0,,,,,
Jun-87,1987,6,26.8,E,10.6,,18.7,E,37,,4,,23,,0,T,23,,0,,,,,
Jul-87,1987,7,25.5,,11.8,E,18.7,E,35,,4.5,,87,,0,,87,,0,,,,,
Aug-87,1987,8,21,,9,,15,,29,,2,,58,,0,,58,,0,,,,,
Sep-87,1987,9,23,,6.7,E,14.9,E,33,,0,,9,,0,,9,,0,,,,,
Oct-87,1987,10,14.7,E,-0.2,,7.3,E,29,,-14,,2,,0,T,2,,0,,,,,
Nov-87,1987,11,7.9,E,-4.6,,1.7,E,17,,-14,,0,T,2,,2,,0,,,,,
Dec-87,1987,12,-0.6,,-10.2,,-5.4,,12.5,,-27,,2,,5,,7,,4,,,,,
Jan-88,1988,1,-7.2,E,-17.4,,-12.3,E,6,S,-37,,0,T,5,,5,,3,,,,,
Feb-88,1988,2,-3.1,E,-14.5,,-8.8,E,16,,-35,,0,T,14,,14,,,M,,,,
Mar-88,1988,3,6.7,E,-5,,0.9,E,17,,-15,S,0,T,10,,10,,,M,,,,
Apr-88,1988,4,14.7,,-1.6,,6.6,,26,,-8.5,,4,,0,T,4,,0,,,,,
May-88,1988,5,23.5,,7.4,,15.5,,35,,-1,,16,,0,,16,,0,,,,,
Jun-88,1988,6,29,,13.8,,21.4,,38.5,,6,,42,,0,,42,,0,,,,,
Jul-88,1988,7,28.1,,11.7,,19.9,,37,,8,S,32,,0,,32,,0,,,,,
Aug-88,1988,8,24.5,E,10.6,,17.6,E,32,S,4,,45,,0,,45,,0,,,,,
Sep-88,1988,9,18.5,,5.8,E,12.2,E,35,,0,,28,,0,,28,,0,,,,,
