Station Name,BLANCHARD RIVER,,,,,,,,,,,,,,,,,,,,,,,
Province,YUKON TERRITORY,,,,,,,,,,,,,,,,,,,,,,,
Latitude,60,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-136.77,,,,,,,,,,,,,,,,,,,,,,,
Elevation,836,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,2100163,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,
B,More than one occurrence and estimated,,,,,,,,,,,,,,,,,,,,,,,
E,Estimated,,,,,,,,,,,,,,,,,,,,,,,
M,Missing,,,,,,,,,,,,,,,,,,,,,,,
S,More than one occurrence,,,,,,,,,,,,,,,,,,,,,,,
T,Trace,,,,,,,,,,,,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Jan-87,1987,1,-2.4,,-13.4,,-7.9,,2,,-35,S,0,,75,,75,,,M,,,,
Feb-87,1987,2,-2.2,,-12,,-7.1,,3,S,-26,,0,,52.5,,52.5,,,M,,,,
Mar-87,1987,3,-4,,-18.6,,-11.3,,3,,-37,S,0,,13,,13,,64,,,,,
Apr-87,1987,4,,M,,M,,M,,M,,M,0,T,,M,,M,18,,,,,
May-87,1987,5,,M,,M,,M,,M,,M,,M,,M,,M,0,,,,,
Jun-87,1987,6,12,E,2.3,,7.2,E,23,,-2,,23.3,,0,,23.3,,0,,,,,
Jul-87,1987,7,18.5,,5.4,,12,,26,,1,,26,,0,,26,,0,,,,,
Aug-87,1987,8,,M,,M,,M,,M,,M,34,,0,,34,,0,,,,,
Sep-87,1987,9,,M,1,,,M,,M,,M,91.3,,0,,91.3,,0,,,,,
Oct-87,1987,10,,M,,M,,M,,M,,M,30,,16,,46,,,M,,,,
Nov-87,1987,11,0.1,,-7.7,E,-3.8,E,4.5,,-18,,17,,140,,157,,30,,,,,
Dec-87,1987,12,-4.7,E,-14.4,,-9.6,E,1,,-32.5,,0,,142,,142,,80,,,,,
Jan-88,1988,1,-8.2,,-20.3,,-14.3,,0,S,-34.5,,0,,59,,59,,115,,,,,
Feb-88,1988,2,-3.9,,-14.8,E,-9.4,E,5,,-31.5,,0,,94,,94,,155,,,,,
Mar-88,1988,3,-0.3,E,-11,,-5.7,E,3,,-22,,0,,73,,73,,,M,,,,
Apr-88,1988,4,2.5,,-7.7,,-2.6,,8,,-15,S,2,,72,,74,,,M,,,,
May-88,1988,5,8.4,E,-1.8,E,3.3,E,,M,-8.5,,39.5,,5,,44.5,,0,,,,,
Jun-88,1988,6,14.4,,3.1,,8.8,,20,,-3,,20,,0,,20,,0,,,,,
Jul-88,1988,7,14.2,E,6.1,E,10.2,E,20.5,,1,,88,,0,,88,,0,,,,,
Aug-88,1988,8,13.6,,5.2,,9.4,,,M,,M,63.7,,0,,63.7,,0,,,,,
Sep-88,1988,9,8.8,E,-1,,3.9,E,,M,,M,62.5,,2,,64.5,,0,,,,,
Oct-88,1988,10,4.3,,-1.8,,1.3,,,M,,M,37.2,,17,,54.2,,,M,,,,
Nov-88,1988,11,-3.1,,-11.6,,-7.4,,1,S,-32,S,0,,189,,189,,,M,,,,
Dec-88,1988,12,-4.5,,-14.5,E,-9.5,E,,M,,M,10,,130,,140,,110,,,,,
Jan-89,1989,1,-12.6,E,-23.1,,-17.9,E,0,,-39,,0,,96,,96,,117,,,,,
Feb-89,1989,2,-5.5,,-22,,-13.8,,0,S,-38.5,,0,,3,,3,,98,,,,,
Mar-89,1989,3,-5,E,-18.8,,-11.9,E,,M,,M,0,,,M,,M,,M,,,,
Apr-89,1989,4,5.5,,-8.5,,-1.5,,15.5,,-20.5,S,5,,3,,8,,0,,,,,
May-89,1989,5,11,,0.1,,5.6,,,M,,M,12.5,,1,,13.5,,0,,,,,
Jun-89,1989,6,15.3,,3.6,E,9.5,E,19.5,,-1.5,S,27,,0,,27,,0,,,,,
Jul-89,1989,7,20.2,,7.5,,13.9,,27.5,,,M,38.5,,0,,38.5,,0,,,,,
Aug-89,1989,8,18.9,,5,,12,,27,,-1,,57.8,,0,,57.8,,0,,,,,
Sep-89,1989,9,11.8,,2.4,,7.1,,21,,-5,,78.5,,0,,78.5,,0,,,,,
Oct-89,1989,10,2.5,,-5.6,,-1.6,,8.5,,-17,S,26.5,,27,,53.5,,4,,,,,
Nov-89,1989,11,-5.7,,-15.7,,-10.7,,5,,-34,,12,,99,,111,,,M,,,,
Dec-89,1989,12,-2.1,E,-10.2,E,-6.2,E,,M,,M,11,,135.5,,146.5,,,M,,,,
Jan-90,1990,1,-10.4,,-20.7,,-15.6,,0,,-40,,0,,62,,62,,60,,,,,
Feb-90,1990,2,-10.4,,-22.5,,-16.5,,1.5,,-40,,0,,124.5,,124.5,,90,,,,,
Mar-90,1990,3,-0.4,,-11,,-5.7,,4.5,,-27,,0,,68,,68,,70,,,,,
Apr-90,1990,4,4.5,,-6.6,,-1.1,,,M,,M,4,,14,,18,,,M,,,,
May-90,1990,5,12.4,,0,,6.2,,18.5,,-7,,35,,3,,38,,0,,,,,
Jun-90,1990,6,14.5,,4.3,,9.4,,21.5,S,-1,S,52.5,,0,,52.5,,0,,,,,
Jul-90,1990,7,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
Aug-90,1990,8,16.8,E,5,,10.9,E,29,,-3,,33.8,,0,,33.8,,0,,,,,
Sep-90,1990,9,10.5,,1.9,E,6.2,E,15,,-7,,79.5,E,0,,79.5,E,0,,,,,
Oct-90,1990,10,1.5,,-6.5,,-2.5,,10,,-18,,20,,88,,108,,20,,,,,
Nov-90,1990,11,-13,E,-21.6,,-17.3,E,-2,S,-33,S,0,,72,,72,,,M,,,,
Dec-90,1990,12,-9.5,,-20.8,E,-15.2,E,0,,-41,,0,,123,,123,,58,,,,,
Jan-91,1991,1,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
Feb-91,1991,2,-1,E,-9.4,E,-4.9,E,7.5,E,-21,E,0,,66,,66,,100,,,,,
Mar-91,1991,3,-2.5,E,-15.3,E,-9.1,E,1,B,-30,E,0,,29,,29,,,M,,,,
Apr-91,1991,4,3.3,,-5.3,,-1,,10.5,,-18.5,,3.5,,22,,25.5,,0,,,,,
May-91,1991,5,10,,-2,E,4,E,18,,-10,,9.5,,0,,9.5,,0,,,,,
Jun-91,1991,6,16,,2.3,,9.2,,28,,-3,S,63,,0,,63,,0,,,,,
Jul-91,1991,7,14.4,,5.4,,9.9,,21,,1.5,,120.2,,0,,120.2,,0,,,,,
Aug-91,1991,8,12.7,E,4.9,E,8.8,E,21,S,-1,,84.2,,0,,84.2,,0,,,,,
Sep-91,1991,9,9.8,,2.4,,6.1,,15,,-6,,64.7,,0,,64.7,,0,,,,,
Oct-91,1991,10,1.7,E,-6,,-2.1,E,8,,-18,S,69,,10,,79,,,M,,,,
Nov-91,1991,11,-3,E,-12.9,,-8,E,8,E,-27,,0,,40,,40,,,M,,,,
Dec-91,1991,12,-5,E,-13.2,,-9.3,E,1,E,-30,S,0,,42,,42,,,M,,,,
Jan-92,1992,1,-3.9,E,-11.3,E,-7.5,E,4,E,-25,,0,,32,,32,,,M,,,,
Feb-92,1992,2,-6.8,,-15.2,E,-11,E,6,,-30,,9,,9,,18,,27,,,,,
Mar-92,1992,3,-1.6,,-17,,-9.3,,3,,-35,S,0,,17,,17,,62,,,,,
Apr-92,1992,4,1.8,E,-12.5,,-5.3,E,8,,-25,,5.4,,8,,13.4,,24,,,,,
May-92,1992,5,7.3,,-5.8,,0.7,,12,S,-15,,12.6,,3,,15.6,,0,,,,,
Jun-92,1992,6,15.7,E,0.8,E,8.2,E,27,S,-5,,61.2,,0,,61.2,,0,,,,,
Jul-92,1992,7,16.1,E,6.2,E,11.2,E,27,E,1,,49.7,,0,,49.7,,0,,,,,
Aug-92,1992,8,13.4,,2.6,E,8,E,19,,-3,S,48.5,,0,,48.5,,0,,,,,
Sep-92,1992,9,4.8,,-2.7,,1,,11,S,-11,,27.4,,26.5,,53.9,,12,,,,,
Oct-92,1992,10,0.4,E,-7.1,,-3.4,E,9,E,-24,,11,,38.5,,49.5,,,M,,,,
Nov-92,1992,11,-1.9,,-10.3,E,-6.1,E,3,,-24.5,,0,,84,,84,,36,,,,,
Dec-92,1992,12,-8.7,E,-20.4,E,-14.1,E,0,E,-36,E,0,,79,,79,,63,,,,,
Jan-93,1993,1,-9.9,,-21.6,,-15.7,,1,,-38,,0,,80,,80,,,M,,,,
Feb-93,1993,2,-4.5,,-17.3,,-10.9,,4,,-35,,0,,35,,35,,104,,,,,
Mar-93,1993,3,-1.4,,-12.6,,-7,,5.5,,-28,S,0,,14,,14,,98,E,,,,
Apr-93,1993,4,5.3,E,-6.5,,-0.7,E,9.5,B,-16,S,1,,6,,7,,0,T,,,,
May-93,1993,5,12.3,,-0.5,,5.9,,19.5,,-11,,7.5,,1,,8.5,,0,,,,,
Jun-93,1993,6,15.3,,2.5,,8.9,,23,,-2,,29.5,,0,,29.5,,0,,,,,
Jul-93,1993,7,18,E,4.4,E,11.3,E,26,B,0.5,,49.7,I,0,,49.7,I,0,,,,,
Aug-93,1993,8,15.6,,3.3,,9.5,,22,S,-1,,20,,0,,20,,0,,,,,
Sep-93,1993,9,11.2,,0.4,,5.8,,21.5,,-10,,82.1,,0,,82.1,,0,,,,,
Oct-93,1993,10,5.5,,-1.9,,1.8,,13,,-13,,65.1,,17,,82.1,,,M,,,,
Nov-93,1993,11,-1.8,,-10.9,E,-6.4,E,3.5,S,-32.5,E,0,T,49.5,E,49.5,E,35,,,,,
Dec-93,1993,12,-2.8,E,-12.1,,-7.5,E,3,S,-27,,0,,72,,72,,,M,,,,
Jan-94,1994,1,-9.3,,-20.8,,-15.1,,2,,-32,,0,,52,,52,,72,,,,,
Feb-94,1994,2,-14.1,,-23.4,,-18.8,,1.5,,-34,S,0,,10.5,E,10.5,E,74,,,,,
Mar-94,1994,3,-1.3,,-8.9,,-5.1,,8,S,-27,,0,,33,,33,,,M,,,,
Apr-94,1994,4,5.3,,-4.6,,0.4,,11,,-10,,8,,10.5,,18.5,,,M,,,,
