Station Name,CARCROSS,,,,,,,,,,,,,,,,,,,,,,,,,
Province,YUKON TERRITORY,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,60.17,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-134.7,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,660,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,2100200,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,-14.3,-26.40322581,-20.12666667,3,-44,1143.8,0,,,,,,,,,,,,
Legend,,,,,,,,-12.2,-26.38461538,-19.43478261,-1,-36,861,0,,,,,,,,,,,,
A,Accumulated,,,,,,,-0.193548387,-13.98387097,-7.090322581,8,-29,777.8,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,6.157894737,-5.473684211,0.976923077,14,-17,221.3,0,,,,,,,,,,,,
E,Estimated,,,,,,,10.5,-2.15,3.96875,16,-7,224.5,0,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,19.0952381,3.944444444,11.65,25,1,88.9,0,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,19.92857143,5.03125,12.7,28,0,68.9,0,,,,,,,,,,,,
M,Missing,,,,,,,20.40909091,4,12.82352941,31,-2,88,0,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,11.65,2.15,6.666666667,15,-5,204,0,,,,,,,,,,,,
S,More than one occurrence,,,,,,,7.222222222,-1.520833333,2.786666667,14,-9,228.2,0,,,,,,,,,,,,
T,Trace,,,,,,,-3.862068966,-11.03448276,-7.482142857,4,-27,713.5,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,-3.153846154,-13.40740741,-8.28,14,-28,657,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1999/1/1,1999,1,1,,-17,,-29,,-23,,41,,0,,0,,0,T,0,T,,M,,,,
1999/1/2,1999,1,2,,-6,,-24,,-15,,33,,0,,0,,0,,0,,,M,,,,
1999/1/3,1999,1,3,,-6,,-17,,-11.5,,29.5,,0,,0,,0,T,0,T,,M,,,,
1999/1/4,1999,1,4,,-10,,-10,,-10,,28,,0,,0,,2,,2,,,M,,,,
