Station Name,CARMACKS CS,,,,,,,,,,,,,,,,,,,,,,,,,
Province,YUKON TERRITORY,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,62.12,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-136.19,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,542.9,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,2100301,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71039,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,XCK,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,-22.07419355,-32.61612903,-27.37419355,-10.1,-47.3,1406.6,0,,,,,,,,,,,,
Legend,,,,,,,,-13.72068966,-26.42758621,-20.09310345,7.1,-47.5,1104.7,0,,,,,,,,,,,,
A,Accumulated,,,,,,,0.609677419,-15.76451613,-7.596774194,8.2,-32.6,793.5,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,7.89,-6.73,0.593333333,14.9,-20.9,522.2,0,,,,,,,,,,,,
E,Estimated,,,,,,,15.73548387,0.203225806,7.996774194,26.6,-5.5,310.1,0,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,19.80333333,4.29,12.07,26.7,-1.9,177.9,0,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,19.94193548,6.377419355,13.19032258,27.6,-0.7,150.1,1,,,,,,,,,,,,
M,Missing,,,,,,,17.70322581,6,11.87096774,25.1,-3.2,190,0,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,13.31666667,-0.126666667,6.623333333,17.8,-6.8,341.3,0,,,,,,,,,,,,
S,More than one occurrence,,,,,,,2.429032258,-6.816129032,-2.196774194,11.7,-21.2,626.1,0,,,,,,,,,,,,
T,Trace,,,,,,,-8.083333333,-17.50333333,-12.81666667,3,-30.2,924.5,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,-22.3,-30.34,-26.35333333,-8.7,-39.7,1330.6,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2008/1/1,2008,1,1,,-24.2,,-34.9,,-29.6,,47.6,,0,,,M,,M,,M,,,,,<31,
2008/1/2,2008,1,2,,-21.6,,-30.3,,-26,,44,,0,,,M,,M,,M,,,,,<31,
2008/1/3,2008,1,3,,-21.5,,-25.1,,-23.3,,41.3,,0,,,M,,M,,M,,,,,<31,
2008/1/4,2008,1,4,,-20.2,,-29.7,,-25,,43,,0,,,M,,M,,M,,,,,<31,
2008/1/5,2008,1,5,,-18.4,,-23,,-20.7,,38.7,,0,,,M,,M,,M,,,,,<31,
2008/1/6,2008,1,6,,-21.4,,-32.8,,-27.1,,45.1,,0,,,M,,M,,M,,,,,<31,
2008/1/7,2008,1,7,,-24.8,,-34.1,,-29.5,,47.5,,0,,,M,,M,,M,,,,,<31,
2008/1/8,2008,1,8,,-24,,-30.7,,-27.4,,45.4,,0,,,M,,M,,M,,,,,<31,
2008/1/9,2008,1,9,,-20.8,,-30.9,,-25.9,,43.9,,0,,,M,,M,,M,,,,,<31,
2008/1/10,2008,1,10,,-23.7,,-31.4,,-27.6,,45.6,,0,,,M,,M,,M,,,,,<31,
2008/1/11,2008,1,11,,-22.1,,-31.8,,-27,,45,,0,,,M,,M,,M,,,,,<31,
2008/1/12,2008,1,12,,-16.4,,-32,,-24.2,,42.2,,0,,,M,,M,,M,,,,,<31,
2008/1/13,2008,1,13,,-16,,-29.3,,-22.7,,40.7,,0,,,M,,M,,M,,,,,<31,
2008/1/14,2008,1,14,,-19,,-33.8,,-26.4,,44.4,,0,,,M,,M,,M,,,32,,39,
2008/1/15,2008,1,15,,-26.9,,-37.7,,-32.3,,50.3,,0,,,M,,M,,M,,,,,<31,
2008/1/16,2008,1,16,,-17.1,,-26.9,,-22,,40,,0,,,M,,M,,M,,,,,<31,
2008/1/17,2008,1,17,,-17.1,,-31.7,,-24.4,,42.4,,0,,,M,,M,,M,,,,,<31,
2008/1/18,2008,1,18,,-13.2,,-22.2,,-17.7,,35.7,,0,,,M,,M,,M,,,,,<31,
2008/1/19,2008,1,19,,-16.9,,-28.9,,-22.9,,40.9,,0,,,M,,M,,M,,,,,<31,
2008/1/20,2008,1,20,,-19.7,,-31,,-25.4,,43.4,,0,,,M,,M,,M,,,,,<31,
2008/1/21,2008,1,21,,-17.7,,-28,,-22.9,,40.9,,0,,,M,,M,,M,,,,,<31,
2008/1/22,2008,1,22,,-13.9,,-27.1,,-20.5,,38.5,,0,,,M,,M,,M,,,,,<31,
2008/1/23,2008,1,23,,-10.2,,-25.3,,-17.8,,35.8,,0,,,M,,M,,M,,,31,,37,
2008/1/24,2008,1,24,,-10.1,,-31.7,,-20.9,,38.9,,0,,,M,,M,,M,,,32,,33,
2008/1/25,2008,1,25,,-19,,-29.5,,-24.3,,42.3,,0,,,M,,M,,M,,,,,<31,
2008/1/26,2008,1,26,,-19.4,,-32.9,,-26.2,,44.2,,0,,,M,,M,,M,,,32,,44,
2008/1/27,2008,1,27,,-32.8,,-43.4,,-38.1,,56.1,,0,,,M,,M,,M,,,,,<31,
2008/1/28,2008,1,28,,-37.6,,-45.3,,-41.5,,59.5,,0,,,M,,M,,M,,,,,<31,
2008/1/29,2008,1,29,,-37.8,,-45.3,,-41.6,,59.6,,0,,,M,,M,,M,,,,,<31,
2008/1/30,2008,1,30,,-40.2,,-47.1,,-43.7,,61.7,,0,,,M,,M,,M,,,,,<31,
2008/1/31,2008,1,31,,-40.6,,-47.3,,-44,,62,,0,,,M,,M,,M,,,,,<31,
2008/2/1,2008,2,1,,-34.4,,-45.8,,-40.1,,58.1,,0,,,M,,M,,M,,,,,<31,
2008/2/2,2008,2,2,,-36.4,,-44.3,,-40.4,,58.4,,0,,,M,,M,,M,,,,,<31,
2008/2/3,2008,2,3,,-28.5,,-43.1,,-35.8,,53.8,,0,,,M,,M,,M,,,,,<31,
2008/2/4,2008,2,4,,-30.4,,-42.3,,-36.4,,54.4,,0,,,M,,M,,M,,,,,<31,
2008/2/5,2008,2,5,,-29,,-40.7,,-34.9,,52.9,,0,,,M,,M,,M,,,32,,43,
2008/2/6,2008,2,6,,-36.8,,-45.9,,-41.4,,59.4,,0,,,M,,M,,M,,,,,<31,
2008/2/7,2008,2,7,,-36.5,,-45.6,,-41.1,,59.1,,0,,,M,,M,,M,,,,,<31,
2008/2/8,2008,2,8,,-37,,-47.2,,-42.1,,60.1,,0,,,M,,M,,M,,,,,<31,
2008/2/9,2008,2,9,,-36.8,,-47.5,,-42.2,,60.2,,0,,,M,,M,,M,,,,,<31,
2008/2/10,2008,2,10,,-24.3,,-36.9,,-30.6,,48.6,,0,,,M,,M,,M,,,,,<31,
2008/2/11,2008,2,11,,-22.7,,-35.3,,-29,,47,,0,,,M,,M,,M,,,,,<31,
