Station Name,CARMACKS CS,,,,,,,,,,,,,,,,,,,,,,,,,
Province,YUKON TERRITORY,,,,,,,,,,,,,,,,,,,,,,,,,
Current Station Operator,Environment and Climate Change Canada - Meteorological Service of Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,62.12,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-136.19,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,542.9,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,2100301,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71039,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
TC Identifier,XCK,,,,,,,-14.18064516,-23.7,-18.97096774,7.8,-45.1,1146.1,0,,,,,,,,,,,,
,,,,,,,,-15.55714286,-30.1,-22.85357143,-3.3,-45.4,1143.9,0,,,,,,,,,,,,
Legend,,,,,,,,0.393548387,-18.08387097,-8.864516129,11.4,-37.2,832.8,0,,,,,,,,,,,,
A,Accumulated,,,,,,,7.466666667,-8.433333333,-0.48,14.9,-24.9,554.4,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,16.0037037,0.451724138,8.348148148,24.2,-5.5,260.6,0,,,,,,,,,,,,
E,Estimated,,,,,,,21.42758621,6.006666667,13.85862069,28.7,-0.9,124.5,4.4,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,25.372,8.746153846,17.152,31.5,5,37.6,16.4,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,19.6483871,7.106451613,13.37096774,30.9,-1,149.4,5.9,,,,,,,,,,,,
M,Missing,,,,,,,13.52666667,-2.183333333,5.666666667,17.4,-8.7,370,0,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,7.325806452,-5.325806452,1.006451613,14.1,-17.7,526.8,0,,,,,,,,,,,,
S,More than one occurrence,,,,,,,-6.267857143,-15.30714286,-10.78571429,5,-26,806,0,,,,,,,,,,,,
T,Trace,,,,,,,-12.44333333,-20.93333333,-16.69,3.8,-32.4,1040.7,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,,,,,,,,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2018/1/1,2018,1,1,,-23.3,,-29.2,,-26.3,,44.3,,0,,,M,,M,0,,22,,,,<31,
2018/1/2,2018,1,2,,4.3,,-24.5,,-10.1,,28.1,,0,,,M,,M,0,,21,,32,,50,
2018/1/3,2018,1,3,,2.6,,-10.2,,-3.8,,21.8,,0,,,M,,M,0.2,,21,,14,,37,
2018/1/4,2018,1,4,,-9.3,,-15.4,,-12.4,,30.4,,0,,,M,,M,0,,21,,,,<31,
2018/1/5,2018,1,5,,-5.5,,-9.4,,-7.5,,25.5,,0,,,M,,M,1.6,,22,,29,,35,
2018/1/6,2018,1,6,,-8.5,,-11.6,,-10.1,,28.1,,0,,,M,,M,0.6,,23,,,,<31,
2018/1/7,2018,1,7,,-10,,-14.5,,-12.3,,30.3,,0,,,M,,M,0,,23,,,,<31,
2018/1/8,2018,1,8,,-9.8,,-19.3,,-14.6,,32.6,,0,,,M,,M,0,,23,,35,,33,
2018/1/9,2018,1,9,,-19.1,,-36.1,,-27.6,,45.6,,0,,,M,,M,0.2,,23,,,,<31,
2018/1/10,2018,1,10,,-34.8,,-42.4,,-38.6,,56.6,,0,,,M,,M,0.6,,23,,,,<31,
2018/1/11,2018,1,11,,-37.3,,-45.1,,-41.2,,59.2,,0,,,M,,M,1.1,,23,,,,<31,
2018/1/12,2018,1,12,,-32.1,,-40.9,,-36.5,,54.5,,0,,,M,,M,0,,23,,,,<31,
2018/1/13,2018,1,13,,-23.6,,-35.6,,-29.6,,47.6,,0,,,M,,M,0,,23,,,,<31,
2018/1/14,2018,1,14,,5.4,,-24.4,,-9.5,,27.5,,0,,,M,,M,0,,24,,13,,32,
2018/1/15,2018,1,15,,7.8,,-3.4,,2.2,,15.8,,0,,,M,,M,0.2,,24,,12,,44,
2018/1/16,2018,1,16,,-2.5,,-9.4,,-6,,24,,0,,,M,,M,0,,24,,,,<31,
2018/1/17,2018,1,17,,-6,,-19.5,,-12.8,,30.8,,0,,,M,,M,0,,24,,,,<31,
2018/1/18,2018,1,18,,-16.1,,-21.2,,-18.7,,36.7,,0,,,M,,M,0,,24,,,,<31,
2018/1/19,2018,1,19,,-14.2,,-19.7,,-17,,35,,0,,,M,,M,0.2,,24,,,,<31,
2018/1/20,2018,1,20,,-13.3,,-17.3,,-15.3,,33.3,,0,,,M,,M,0.6,,24,,,,<31,
2018/1/21,2018,1,21,,-13,,-18.3,,-15.7,,33.7,,0,,,M,,M,1.4,,30,,,,<31,
2018/1/22,2018,1,22,,-14.1,,-20.6,,-17.4,,35.4,,0,,,M,,M,0.2,,26,,,,<31,
2018/1/23,2018,1,23,,-18.7,,-25.2,,-22,,40,,0,,,M,,M,0.7,,31,,,,<31,
2018/1/24,2018,1,24,,-18.7,,-23.1,,-20.9,,38.9,,0,,,M,,M,0.2,,31,,,,<31,
2018/1/25,2018,1,25,,-18.2,,-24.5,,-21.4,,39.4,,0,,,M,,M,0.5,,30,,,,<31,
2018/1/26,2018,1,26,,-16.6,,-21.9,,-19.3,,37.3,,0,,,M,,M,0,,30,,,,<31,
2018/1/27,2018,1,27,,-16.7,,-30,,-23.4,,41.4,,0,,,M,,M,0.2,,30,,,,<31,
2018/1/28,2018,1,28,,-25.4,,-35.7,,-30.6,,48.6,,0,,,M,,M,0.2,,30,,,,<31,
2018/1/29,2018,1,29,,-14,,-30,,-22,,40,,0,,,M,,M,0,,29,,,,<31,
2018/1/30,2018,1,30,,-19,,-30.3,,-24.7,,42.7,,0,,,M,,M,0.5,,30,,,,<31,
2018/1/31,2018,1,31,,-19.9,,-26,,-23,,41,,0,,,M,,M,0,,30,,,,<31,
2018/2/1,2018,2,1,,-25.8,,-40.7,,-33.3,,51.3,,0,,,M,,M,0.4,,29,,,,<31,
2018/2/2,2018,2,2,,-31.6,,-45.1,,-38.4,,56.4,,0,,,M,,M,1.1,,29,,,,<31,
2018/2/3,2018,2,3,,-31.6,,-45.4,,-38.5,,56.5,,0,,,M,,M,1,,29,,,,<31,
2018/2/4,2018,2,4,,-29.4,,-42.4,,-35.9,,53.9,,0,,,M,,M,0,,30,,,,<31,
2018/2/5,2018,2,5,,-27.2,,-41.2,,-34.2,,52.2,,0,,,M,,M,0,,30,,,,<31,
2018/2/6,2018,2,6,,-29.6,,-39.9,,-34.8,,52.8,,0,,,M,,M,0,,30,,,,<31,
2018/2/7,2018,2,7,,-29.8,,-42.7,,-36.3,,54.3,,0,,,M,,M,0,,29,,,,<31,
2018/2/8,2018,2,8,,-26.4,,-41.5,,-34,,52,,0,,,M,,M,0,,29,,,,<31,
2018/2/9,2018,2,9,,-23.6,,-40.7,,-32.2,,50.2,,0,,,M,,M,0,,29,,,,<31,
2018/2/10,2018,2,10,,-23.6,,-40.6,,-32.1,,50.1,,0,,,M,,M,0,,29,,,,<31,
2018/2/11,2018,2,11,,-20.6,,-37.2,,-28.9,,46.9,,0,,,M,,M,0,,29,,,,<31,
2018/2/12,2018,2,12,,-9,,-26.8,,-17.9,,35.9,,0,,,M,,M,0,,29,,,,<31,
2018/2/13,2018,2,13,,-3.3,,-14.3,,-8.8,,26.8,,0,,,M,,M,1.9,,29,,,,<31,
2018/2/14,2018,2,14,,-4.3,,-10.4,,-7.4,,25.4,,0,,,M,,M,0,,31,,,,<31,
2018/2/15,2018,2,15,,-8.1,,-12.1,,-10.1,,28.1,,0,,,M,,M,3.7,,31,,,,<31,
2018/2/16,2018,2,16,,-6.2,,-20.9,,-13.6,,31.6,,0,,,M,,M,0.5,,33,,,,<31,
2018/2/17,2018,2,17,,-10.3,,-29,,-19.7,,37.7,,0,,,M,,M,0,,34,,,,<31,
2018/2/18,2018,2,18,,-14,,-32.1,,-23.1,,41.1,,0,,,M,,M,0,,34,,,,<31,
2018/2/19,2018,2,19,,-10.7,,-21.1,,-15.9,,33.9,,0,,,M,,M,0,,34,,,,<31,
2018/2/20,2018,2,20,,-8.2,,-21.4,,-14.8,,32.8,,0,,,M,,M,2,,34,,,,<31,
2018/2/21,2018,2,21,,-6.4,,-27,,-16.7,,34.7,,0,,,M,,M,0,,35,,,,<31,
2018/2/22,2018,2,22,,-8.1,,-23,,-15.6,,33.6,,0,,,M,,M,1.1,,35,,,,<31,
2018/2/23,2018,2,23,,-4.5,,-18.2,,-11.4,,29.4,,0,,,M,,M,1.2,,39,,32,,43,
2018/2/24,2018,2,24,,-6.5,,-27.3,,-16.9,,34.9,,0,,,M,,M,0,,41,,,,<31,
2018/2/25,2018,2,25,,-6.7,,-26,,-16.4,,34.4,,0,,,M,,M,0,,41,,,,<31,
2018/2/26,2018,2,26,,-9.4,,-28.1,,-18.8,,36.8,,0,,,M,,M,0,,40,,,,<31,
2018/2/27,2018,2,27,,-9.5,,-24.1,,-16.8,,34.8,,0,,,M,,M,0.2,,40,,31,,33,
2018/2/28,2018,2,28,,-11.2,,-23.6,,-17.4,,35.4,,0,,,M,,M,0.3,,39,,34,,39,
2018/3/1,2018,3,1,,-12.4,,-28.5,,-20.5,,38.5,,0,,,M,,M,0,,40,,33,,37,
2018/3/2,2018,3,2,,-12.9,,-37.2,,-25.1,,43.1,,0,,,M,,M,0,,40,,,,<31,
2018/3/3,2018,3,3,,-9.5,,-30.2,,-19.9,,37.9,,0,,,M,,M,0,,40,,,,<31,
2018/3/4,2018,3,4,,-6.1,,-16.1,,-11.1,,29.1,,0,,,M,,M,0.9,,40,,,,<31,
2018/3/5,2018,3,5,,-4.8,,-20.5,,-12.7,,30.7,,0,,,M,,M,0,,40,,,,<31,
2018/3/6,2018,3,6,,-7.5,,-28.8,,-18.2,,36.2,,0,,,M,,M,0,,40,,,,<31,
2018/3/7,2018,3,7,,-3.3,,-26.3,,-14.8,,32.8,,0,,,M,,M,0,,40,,,,<31,
2018/3/8,2018,3,8,,-3.3,,-19.2,,-11.3,,29.3,,0,,,M,,M,0.4,,40,,,,<31,
2018/3/9,2018,3,9,,2.7,,-12.6,,-5,,23,,0,,,M,,M,0,,40,,16,,52,
2018/3/10,2018,3,10,,3.2,,-14.9,,-5.9,,23.9,,0,,,M,,M,0,,38,,12,,41,
2018/3/11,2018,3,11,,6.2,,-12.7,,-3.3,,21.3,,0,,,M,,M,0,,38,,14,,50,
2018/3/12,2018,3,12,,7.6,,-4,,1.8,,16.2,,0,,,M,,M,0,,38,,19,,50,
2018/3/13,2018,3,13,,11.1,,-5.9,,2.6,,15.4,,0,,,M,,M,0,,37,,,,<31,
2018/3/14,2018,3,14,,11.4,,-6.3,,2.6,,15.4,,0,,,M,,M,0,,37,,11,,33,
2018/3/15,2018,3,15,,11,,-3.6,,3.7,,14.3,,0,,,M,,M,0,,36,,,,<31,
2018/3/16,2018,3,16,,9.4,,-6.7,,1.4,,16.6,,0,,,M,,M,0,,35,,,,<31,
2018/3/17,2018,3,17,,10.6,,-11.4,,-0.4,,18.4,,0,,,M,,M,0,,34,,,,<31,
2018/3/18,2018,3,18,,9.3,,-9.6,,-0.2,,18.2,,0,,,M,,M,0,,34,,,,<31,
2018/3/19,2018,3,19,,7.2,,-6.1,,0.6,,17.4,,0,,,M,,M,0,,34,,,,<31,
2018/3/20,2018,3,20,,1.3,,-5.7,,-2.2,,20.2,,0,,,M,,M,10,,36,,32,,44,
2018/3/21,2018,3,21,,-5.7,,-8.3,,-7,,25,,0,,,M,,M,4.3,,55,,34,,43,
2018/3/22,2018,3,22,,-4.7,,-11.6,,-8.2,,26.2,,0,,,M,,M,0.2,,56,,31,,44,
2018/3/23,2018,3,23,,-2.1,,-22.5,,-12.3,,30.3,,0,,,M,,M,0,,54,,33,,32,
2018/3/24,2018,3,24,,-6.1,,-25.6,,-15.9,,33.9,,0,,,M,,M,0,,53,,34,,32,
2018/3/25,2018,3,25,,-6.8,,-32.6,,-19.7,,37.7,,0,,,M,,M,0,,52,,,,<31,
2018/3/26,2018,3,26,,-3.5,,-34.1,,-18.8,,36.8,,0,,,M,,M,0,,52,,,,<31,
2018/3/27,2018,3,27,,0,,-30.9,,-15.5,,33.5,,0,,,M,,M,0,,51,,,,<31,
2018/3/28,2018,3,28,,4.9,,-24.7,,-9.9,,27.9,,0,,,M,,M,0,,51,,,,<31,
2018/3/29,2018,3,29,,1.3,,-16.3,,-7.5,,25.5,,0,,,M,,M,0,,51,,5,,35,
2018/3/30,2018,3,30,,3,,-24.3,,-10.7,,28.7,,0,,,M,,M,0,,50,,,,<31,
2018/3/31,2018,3,31,,0.7,,-23.4,,-11.4,,29.4,,0,,,M,,M,0,,50,,32,,33,
2018/4/1,2018,4,1,,-0.8,,-17.9,,-9.4,,27.4,,0,,,M,,M,1,,49,,31,,41,
2018/4/2,2018,4,2,,-1.9,,-18.1,,-10,,28,,0,,,M,,M,0,,50,,31,,37,
2018/4/3,2018,4,3,,-1.5,,-24.9,,-13.2,,31.2,,0,,,M,,M,0,,50,,,,<31,
2018/4/4,2018,4,4,,0.4,,-17.5,,-8.6,,26.6,,0,,,M,,M,0,,49,,,,<31,
2018/4/5,2018,4,5,,2,,-21.6,,-9.8,,27.8,,0,,,M,,M,0,,49,,14,,41,
