Latitude (Decimal Degrees),Longitude (Decimal Degrees)
48.87,-123.28
48.4,-123.48
48.58,-123.52
48.5,-124
48.5,-123.35
48.33,-123.63
48.6,-123.47
48.57,-123.45
48.57,-123.43
48.58,-123.42
48.57,-123.39
48.55,-123.4
48.94,-123.74
48.68,-123.6
48.65,-123.57
48.65,-123.4
48.42,-123.48
48.83,-123.83
48.53,-123.37
48.52,-123.37
48.42,-123.7
48.71,-123.56
48.73,-123.6
48.82,-124.13
48.83,-124.12
48.93,-124.48
48.83,-124.05
48.82,-123.67
48.42,-123.23
48.78,-123.72
48.83,-123.72
48.78,-123.68
48.77,-123.68
48.73,-123.73
48.35,-123.63
48.52,-123.38
48.53,-123.38
48.43,-123.42
48.42,-123.47
48.43,-123.44
48.5,-123.53
48.9,-123.35
48.87,-123.5
48.87,-123.32
48.99,-123.57
48.45,-123.55
48.62,-123.53
48.83,-124.19
48.6,-123.35
48.55,-123.24
48.97,-123.63
48.82,-124.05
48.43,-123.53
48.58,-123.58
48.57,-123.53
48.85,-123.33
48.84,-123.32
48.37,-123.56
48.42,-123.53
48.4,-123.53
48.38,-123.5
48.65,-123.55
48.64,-123.56
48.48,-123.55
48.35,-123.73
48.38,-123.88
48.82,-123.72
48.82,-123.72
48.76,-123.29
48.77,-123.3
48.7,-123.42
48.41,-123.99
48.59,-124.33
48.3,-123.53
48.3,-123.53
48.42,-124.05
48.62,-123.42
48.5,-123.42
48.5,-123.4
48.97,-123.77
48.85,-123.5
48.82,-123.48
48.89,-123.55
48.52,-123.42
48.55,-123.42
48.6,-123.43
48.88,-123.57
48.78,-123.13
48.78,-123.13
48.78,-123.04
48.65,-123.63
48.65,-123.63
48.38,-123.92
48.68,-123.4
48.37,-123.73
48.42,-123.63
48.52,-123.7
48.58,-123.64
48.37,-123.82
48.38,-123.67
48.75,-123.22
48.4,-123.3
48.45,-123.28
48.63,-123.47
48.43,-123.37
48.46,-123.3
48.47,-123.47
48.48,-123.44
48.41,-123.33
48.41,-123.32
48.47,-123.3
48.42,-123.39
48.51,-123.51
48.48,-123.41
48.54,-123.5
48.42,-123.39
48.65,-123.43
48.65,-123.43
48.43,-123.33
48.42,-123.39
48.43,-123.32
48.37,-123.75
48.43,-123.3
48.45,-123.33
48.49,-123.4
48.47,-123.3
48.47,-123.3
