Date,CO2,CH4,TMAX,TAVG
1983.07,344.19,1625.9,0.075,0.041
1983.08,342.27,1628.1,0.45,0.428
1983.09,340.35,1638.4,0.5,0.601
1983.1,340.38,1644.7,0.085,0.244
1983.11,341.59,1642.6,0.679,0.669
1983.12,343.05,1639.5,0.238,0.188
1984.01,344.1,1638.6,0.231,0.338
1984.02,344.79,1638.8,-0.135,-0.122
1984.03,345.52,1640.7,0.324,0.351
1984.04,346.84,1643.7,0.089,0.065
1984.05,347.63,1642.9,0.686,0.626
1984.06,346.98,1639.6,-0.197,-0.136
1984.07,345.53,1637.7,0.065,0.05
1984.08,343.55,1641.4,0.127,0.071
1984.09,341.4,1650.3,-0.184,-0.079
1984.1,341.67,1654.4,-0.106,0.138
1984.11,343.1,1653.7,-0.429,-0.265
1984.12,344.7,1656.1,-0.643,-0.462
1985.01,345.21,1655.5,0.299,0.414
1985.02,346.16,1652.2,-0.572,-0.501
1985.03,347.74,1654.5,-0.003,0.145
1985.04,348.34,1658.1,0.171,0.266
1985.05,349.06,1655.8,0.043,0.063
1985.06,348.38,1650.0,0.152,0.07
1985.07,346.71,1646.7,-0.386,-0.373
1985.08,345.02,1652.2,0.159,0.177
1985.09,343.27,1662.4,-0.266,-0.128
1985.1,343.13,1667.4,-0.231,0.089
1985.11,344.49,1666.8,-0.317,-0.111
1985.12,345.88,1666.0,0.044,0.167
1986.01,346.56,1666.3,0.723,0.716
1986.02,347.28,1666.9,0.744,0.8
1986.03,348.01,1669.3,0.407,0.468
1986.04,349.77,1670.8,0.503,0.511
1986.05,350.38,1668.4,0.246,0.239
1986.06,349.93,1664.7,-0.03,-0.086
1986.07,348.16,1662.3,-0.034,-0.057
1986.08,346.08,1664.4,0.213,0.094
1986.09,345.22,1672.6,-0.276,-0.256
1986.1,344.51,1678.7,-0.197,0.083
1986.11,345.93,1679.0,-0.4,-0.139
1986.12,347.21,1679.0,0.033,0.132
1987.01,348.52,1679.0,0.622,0.548
1987.02,348.73,1678.6,0.857,0.942
1987.03,349.73,1679.7,-0.06,-0.06
1987.04,351.31,1681.2,0.334,0.255
1987.05,352.09,1682.0,0.142,0.165
1987.06,351.53,1680.3,0.473,0.423
1987.07,350.11,1676.3,0.638,0.528
1987.08,348.08,1677.2,0.055,0.017
1987.09,346.52,1685.4,0.287,0.367
1987.1,346.59,1691.5,0.19,0.372
1987.11,347.96,1691.3,-0.075,-0.04
1987.12,349.16,1690.6,0.857,0.86
