 SUMMARY11.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2016
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.5     131.40
 1951   0.0      2.6     140.85
 1952   0.0      2.5     143.89
 1953   0.0      2.5     146.72
 1954   0.0      2.5     152.96
 1955   0.0      2.7     169.75
 1956   0.0      2.8     180.14
 1957   0.0      2.7     183.17
 1958   0.0      2.7     188.56
 1959   0.0      2.8     198.43
 1960   0.0      2.9     210.63
 1961   0.0      2.9     208.64
 1962   0.0      2.9     216.36
 1963   0.0      3.1     227.58
 1964   0.0      3.2     239.42
 1965   0.0      3.4     251.97
 1966   0.0      3.6     264.90
 1967   0.0      3.7     270.36
 1968   0.0      3.8     285.54
 1969   0.0      4.0     304.03
 1970   0.0      4.3     333.70
 1971   0.0      4.3     343.09
 1972   0.0      4.6     359.47
 1973   0.0      4.7     380.63
 1974   0.0      4.6     378.73
 1975   0.0      4.4     378.42
 1976   0.0      4.7     404.65
 1977   0.0      4.7     412.08
 1978   0.0      4.8     425.02
 1979   0.0      5.0     440.70
 1980   0.0      4.7     439.97
 1981   0.0      4.4     425.55
 1982   0.0      4.3     423.82
 1983   0.0      4.3     428.21
 1984   0.0      4.5     439.60
 1985   0.0      4.4     455.32
 1986   0.0      4.4     458.09
 1987   0.0      4.5     477.62
 1988   0.0      4.8     501.45
 1989   0.0      5.0     507.52
 1990   0.0      5.8     495.85
 1991   0.0      6.0     504.79
 1992   0.0      6.0     502.83
 1993   0.0      5.9     507.78
 1994   0.0      6.5     505.29
 1995   0.0      6.4     523.40
 1996   0.0      6.4     532.86
 1997   0.0      6.3     536.92
 1998   0.0      6.3     526.00
 1999   0.0      6.7     531.02
 2000   0.0      6.6     552.98
 2001   0.0      6.2     547.31
 2002   0.0      7.1     568.24
 2003   0.0      6.5     599.95
 2004   0.0      6.4     624.14
 2005   0.0      6.5     640.25
 2006   0.0      6.8     673.25
 2007   0.0      6.8     690.33
 2008   0.0      6.6     700.93
 2009   0.0      6.5     697.09
 2010   0.0      6.4     743.11
 2011   0.0      6.8     769.85
 2012   0.0      6.9     782.12
 2013   0.0      7.1     789.98
