年份,CDD,CSDI,PRCPTOT,R95pTOT,Rx5day,TN90p,TX10p,极寒频率,极寒严重性,气温平均值,气温最高值,气温最低值
1850,47.12471614,11.202299,855.90375,182.72151,77.187454,7.6879435,12.343755,2100,6359.208794,7.69,13.662,2.284
1851,51.49570076,13.019145,857.9719,182.64758,77.13364,7.690718,12.971018,2293,8281.942413,8.006,13.697,2.639
1852,55.20061494,12.172845,863.23413,181.65402,75.89577,7.589348,13.048175,5501,25821.92192,7.889,13.45,2.084
1853,53.3742287,10.330532,862.75165,188.33572,78.21151,9.66526,11.677246,4450,16465.60205,7.898,14.102,2.259
1854,53.44197674,11.977801,861.4025,188.3234,77.692764,10.480879,11.767045,6718,33289.35931,8.1,14.072,2.059
1855,57.63069925,8.82676,861.4488,185.11705,76.76041,9.855731,10.812647,5561,19882.79252,8.042,13.809,1.851
1856,53.78904614,10.648384,863.36646,188.36984,78.00649,9.2979,11.794034,9327,44318.54184,7.894,13.509,1.364
1857,50.28084674,10.613147,860.1412,185.49501,77.70897,8.321318,11.962299,10453,41691.19747,7.666,13.764,1.999
1858,54.78166931,11.326185,855.7772,180.89876,76.98698,6.7935762,12.629851,6090,19200.55964,8.031,14.184,2.495
1859,54.89516275,13.788147,854.97034,183.65282,77.08679,7.289472,13.551784,9327,38902.6369,8.188,14.074,2.839
1860,56.50001802,12.061853,863.81964,186.41698,77.52961,8.805685,12.366155,18130,112114.9426,7.841,13.977,2.427
1861,51.92211692,11.764655,861.505,184.0433,77.687706,8.257617,12.429638,14869,83699.45651,7.779,14.134,2.336
1862,51.42935667,15.429921,855.90454,181.11565,77.21409,7.7579017,14.437206,15962,94046.46636,7.431,13.944,1.96
1863,53.64628315,11.813362,861.6586,190.07632,78.96318,8.865385,12.662316,17682,92555.60276,8.085,13.962,2.853
1864,56.47541873,10.093067,864.6885,187.98439,77.28923,9.429086,11.4888735,19834,110511.2323,7.893,13.925,2.223
1865,55.39271871,20.051617,866.34827,191.43353,77.954124,8.71778,14.9762335,19236,97849.29692,8.101,14.312,2.428
1866,54.41631444,27.011387,859.5431,181.41069,77.46404,7.803653,18.146502,18872,91621.73027,8.189,14.16,2.289
1867,55.81221809,11.1007185,857.388,189.09067,78.247055,9.107188,12.015686,18479,101943.4294,8.34,14.028,1.951
